"","dyadID","gender","religion","avg_housework_male","avg_housework_female","avg_grbs","housework_fair","housework_satisfied","partnum2"
"89",28021760,0,"Christianity",60,68,3.15,3,3,2
"90",28947773,0,"Christianity",95,90,3.7,1,5,2
"91",28947773,1,"Christianity",95,92,3.8,1,5,1
"92",28992200,0,"Hinduism",85,60,2.9,3,3,2
"93",28992200,1,"Hinduism",40,71.1111111111111,3.15,3,3,1
"94",28992252,0,"Agnostic",60,60,3.25,3,4,2
"95",28992252,1,"Agnostic",60,60,2.9,3,4,1
"96",28993415,1,"Christianity",75,86,2.65,1,5,1
"97",28993415,0,"Christianity",65,32,2.9,3,5,2
"98",29008274,1,"Christianity",40,52,3,3,3,1
"99",29008274,0,"Christianity,Agnostic",100,74,1.2,3,4,2
"100",29008631,0,"Christianity",90,46,3.05,2,4,2
"101",29008631,1,"Christianity",35,74,2.2,3,5,1
"104",29014377,1,"Christianity",40,82,1.8,3,4,1
"107",29027911,1,"Christianity",45,71.1111111111111,2.15,3,5,1
"108",29029182,1,"Islam",50,66,1.2,3,4,1
"109",29029182,0,"Christianity",60,52,2,3,3,2
"110",29070034,0,"Islam",90,76,3.1,2,5,2
"111",29070034,1,"Islam",40,64,3.5,1,5,1
"112",29077358,1,"Christianity",50,92,2.3,2,4,1
"113",29077358,0,"Christianity",70,30,2.6,2,4,2
"114",29080875,0,"Christianity",70,24,2.85,3,3,2
"115",29080875,1,"Christianity",45,94,2.7,3,3,1
"116",29083526,1,"Christianity",40,82,3.05,3,5,1
"117",29083526,0,"Christianity",100,40,3.5,3,5,2
"118",29090161,1,"Christianity",40,75.5555555555556,2.15,2,4,1
"119",29090161,0,"Christianity",95,52,2,2,3,2
"120",29108175,0,"Judaism",100,84,3,3,3,2
"121",29108175,1,"Judaism",85,76,3.35,3,3,1
"122",29113070,1,"Christianity",25,72,3,1,5,1
"123",29113070,0,"Christianity",100,54,3.2,4,3,2
"124",29120878,1,"Christianity",60,88,1.5,3,3,1
"125",29120878,0,"Christianity",70,50,2.6,2,4,2
"126",29169849,1,"Christianity",60,82.2222222222222,3.5,3,4,1
"127",29169849,0,"Christianity",60,35.5555555555556,3.95,3,5,2
"128",29186653,1,"Christianity",45,72,2.25,2,5,1
"129",29186653,0,"Christianity",75,42,2.3,3,4,2
"130",29187228,1,"Agnostic",70,80,2.25,5,1,1
"131",29187228,0,"Christianity",65,48,3.65,2,4,2
"133",29226842,1,"Christianity",40,93.3333333333333,2.45,3,5,1
"134",29226842,0,"Christianity",70,22.2222222222222,2.45,3,3,2
"135",29237405,1,"Christianity",40,68,2.8,3,4,1
"137",29251840,1,"Christianity",80,82,2.25,4,1,1
"138",29251840,0,"Prefer not to answer",70,50,3.1,3,3,2
"139",29258147,1,"Christianity",30,82.2222222222222,2,3,5,1
"140",29258147,0,"Christianity",95,35.5555555555556,2.75,3,4,2
"141",29273612,1,"Christianity",60,86,2.55,1,1,1
"142",29273612,0,"Christianity",85,28,3.35,1,5,2
"143",29273822,0,"Buddhism",45,46.6666666666667,4.15,4,2,2
"144",29273822,1,"Buddhism",85,68,3.75,3,4,1
"145",29275282,1,"Athiest",50,70,1.4,3,4,1
"146",29275282,0,"Athiest",90,76,1.95,4,3,2
"147",29276238,1,"Christianity",55,54,3.2,2,4,1
"148",29276238,0,"Christianity",80,70,3.25,2,5,2
"149",29281726,1,"Christianity",35,64,2.9,3,3,1
"150",29281726,0,"Christianity",95,60,2.95,3,4,2
"151",29291479,1,"Christianity",35,88,1.75,3,4,1
"152",29291479,0,"Christianity",100,28,3,1,5,2
"153",29302703,1,"Christianity",65,93.3333333333333,4.2,4,2,1
"154",29302703,0,"Christianity",95,52,4.3,3,4,2
"155",29319965,1,"Christianity",50,94,2.05,4,2,1
"156",29319965,0,"Christianity",90,34,3.3,3,4,2
"157",29322606,1,"Christianity",20,84.4444444444444,1.55,3,5,1
"158",29322606,0,"Christianity",100,26.6666666666667,2.65,3,5,2
"159",29346027,1,"Agnostic",40,73.3333333333333,1.8,3,4,1
"160",29346027,0,"Agnostic",90,55.5555555555556,2.2,3,5,2
"161",29356648,1,"Christianity",20,64,2.7,3,5,1
"162",29356648,0,"Christianity",100,56,2.9,3,4,2
"163",29358468,1,"Other",60,90,2.45,3,4,1
"164",29358468,0,"Other",90,42,1.65,3,5,2
"167",29398891,0,"Athiest",90,42.2222222222222,1.4,1,2,2
"168",29398891,1,"Athiest",20,73.3333333333333,1.15,4,4,1
"169",29434095,1,"Christianity",45,64,1.6,1,5,1
"170",29434095,0,"Christianity",75,60,3,3,4,2
"174",29459354,1,"Christianity",80,84,2.85,3,5,1
"175",29459354,0,"Christianity",40,44,3,3,4,2
"176",29469928,1,"Christianity",73.3333333333333,95.5555555555556,1.95,4,2,1
"177",29469928,0,"Christianity",93.3333333333333,37.7777777777778,3.35,4,2,2
"178",29472035,1,"Agnostic",60,84.4444444444444,2.35,5,2,1
"179",29472035,0,"Christianity",85,48.8888888888889,3.5,3,4,2
"181",29486374,0,"Christianity",60,60,3,3,3,2
"182",29493026,1,"Hinduism",35,80,1.9,4,2,1
"183",29493026,0,"Hinduism",90,42.2222222222222,2.1,3,4,2
"184",29508533,1,"Prefer not to answer",40,88.8888888888889,3.1,NA,3,1
"185",29508533,0,"Other",40,42,3,3,5,2
"186",29526900,1,"Christianity",30,91.1111111111111,2.8,3,4,1
"187",29526900,0,"Christianity",90,31.1111111111111,2.6,2,3,2
"190",29532872,1,"Athiest",65,82.2222222222222,1.2,3,4,1
"191",29532872,0,"Athiest",60,55.5555555555556,1.8,3,3,2
"192",29536578,1,"Christianity",55,82,4,3,3,1
"193",29536578,0,"Christianity",85,32,4,3,3,2
"194",29559028,1,"Christianity",80,84,3.2,3,4,1
"195",29559028,0,"Christianity",55,54,2.9,3,3,2
"196",29577345,1,"Christianity",30,75,3.7,3,3,1
"199",29579556,0,"Christianity",100,44,3.6,1,5,2
"200",29597452,1,"Christianity",55,92,2.65,4,2,1
"201",29597452,0,"Christianity",75,26,3.7,4,2,2
"202",29601472,1,"Other",35,97.7777777777778,3,2,4,1
"203",29601472,0,"Christianity",60,24.4444444444444,3.3,3,3,2
"204",29622262,1,"Christianity",50,96,2.5,4,2,1
"205",29622262,0,"Christianity",60,24,3.3,1,4,2
"206",29636672,1,"Christianity",20,71.1111111111111,2.2,3,5,1
"207",29636672,0,"Christianity",100,46.6666666666667,2.95,3,4,2
"208",29647555,1,"Christianity",70,100,2,4,3,1
"209",29647555,0,"Christianity",50,20,2.55,3,4,2
"210",29648648,1,"Christianity",35,88,2.55,3,3,1
"211",29648648,0,"Christianity",90,32,2,3,3,2
"212",29650679,1,"Other",55,66,2.65,4,4,1
"213",29650679,0,"Prefer not to answer",70,30,1.85,3,5,2
"214",29655905,1,"Christianity",50,56,3.35,3,5,1
"215",29655905,0,"Christianity",90,94,3.3,3,5,2
"216",29670187,1,"Christianity",40,70,3.5,2,5,1
"217",29670187,0,"Christianity",40,58,4.1,1,5,2
"218",29675494,0,"Judaism",70,38,1.85,3,4,2
"219",29675494,1,"Judaism",65,86,2.1,3,4,1
"220",29676367,1,"Christianity",20,68,3.85,1,5,1
"221",29676367,0,"Judaism",100,62,3.25,4,2,2
"223",29711478,0,"Christianity",75,82,3.55,3,5,2
"224",29711478,1,"Christianity",20,42.2222222222222,3.9,3,5,1
"225",29725014,1,"Agnostic",50,78,2.65,3,4,1
"226",29725014,0,"Christianity",70,52,3.1,3,4,2
"227",29725200,0,"Christianity",60,60,3,3,5,2
"228",29725200,1,"Christianity",60,60,2.6,3,5,1
"229",29727375,1,"Hinduism",75,64,3.5,3,4,1
"230",29727375,0,"Hinduism",70,80,3.4,2,3,2
"231",29733249,1,"Christianity",60,70,3.25,3,4,1
"233",29733973,0,"Hinduism",100,66.6666666666667,2.6,1,5,2
"234",29733973,1,"Hinduism",20,60,2.65,3,5,1
"235",29736251,0,"Agnostic",60,56,2.9,3,4,2
"236",29736251,1,"Christianity",65,58,2.9,3,4,1
"237",29751672,1,"Christianity",60,60,3.4,3,5,1
"238",29751672,0,"Christianity",60,60,2.6,3,4,2
"239",29752580,1,"Christianity",40,98,2.85,5,2,1
"240",29752580,0,"Christianity",75,22,3.55,1,5,2
"241",29758869,1,"Hinduism",40,66.6666666666667,3.25,2,4,1
"242",29758869,0,"Hinduism",70,57.7777777777778,3.25,3,3,2
"243",29759818,1,"Judaism",70,68,2.35,3,3,1
"244",29759818,0,"Judaism",60,77.7777777777778,1.95,2,3,2
"245",29775425,0,"Prefer not to answer",93.3333333333333,64,2.5,3,4,2
"246",29775425,1,"Christianity",26.6666666666667,68,1.95,3,3,1
"247",29778230,1,"Athiest",35,68,1.45,3,4,1
"248",29778230,0,"Athiest",85,58,1.7,3,4,2
"249",29779946,1,"Buddhism",90,98,3.7,2,5,1
"250",29779946,0,"Buddhism",45,48,3.65,1,5,2
"251",29793807,1,"Judaism",50,80,2.85,3,4,1
"252",29793807,0,"Judaism",80,51.1111111111111,2.95,3,3,2
"253",29795327,1,"Prefer not to answer",50,68,3,3,3,1
"254",29795327,0,"Prefer not to answer",90,50,3.6,3,5,2
"255",29802428,1,"Christianity",33.3333333333333,71.1111111111111,3.95,3,5,1
"256",29802428,0,"Christianity",90,48.8888888888889,4.2,3,4,2
"257",29811081,0,"Agnostic",80,46,2.85,3,5,2
"258",29811081,1,"Christianity",50,72,2.65,3,4,1
"259",31142588,0,"Christianity",60,60,3.05,3,5,2
"260",31142588,1,"Christianity",60,60,3.05,3,5,1
"261",31232445,1,"Hinduism",60,60,2.9,3,5,1
"262",31232445,0,"Hinduism",60,58,1.5,3,5,2
"263",31256405,0,"Christianity",90,51.1111111111111,3.15,3,3,2
"264",31256405,1,"Christianity",30,64.4444444444444,2.95,3,3,1
"265",31423023,0,"Other",95,75.5555555555556,2.3,4,4,2
"266",31423023,1,"Christianity",66.6666666666667,64,3.05,1,5,1
"268",31471311,1,"Christianity",80,90,2.9,1,5,1
"269",31471311,0,"Christianity",75,46,2.4,2,4,2
"270",31635308,1,"Christianity",60,60,2.75,3,5,1
"271",31635308,0,"Christianity",60,60,2.8,3,5,2
"272",31764329,0,"Christianity",53.3333333333333,73.3333333333333,3.35,1,4,2
"273",31764329,1,"Christianity",45,62,3.15,2,5,1
"275",31848482,1,"Athiest",60,76,1.45,3,4,1
"276",31848482,0,"Athiest",70,56,1.4,3,3,2
"277",31904581,1,"Buddhism",55,94,2.35,4,2,1
"278",31904581,0,"Christianity",85,24,3.15,1,5,2
"280",32021977,1,"Christianity",50,84,3.3,4,3,1
"281",32048295,1,"Prefer not to answer",30,90,3,3,3,1
"282",32048295,0,"Prefer not to answer",90,32,3,2,4,2
"283",32134573,1,"Prefer not to answer",50,68,2.9,3,4,1
"284",32134573,0,"Prefer not to answer",65,66,2.7,1,5,2
"285",32166157,1,"Christianity",30,73.3333333333333,1.95,3,4,1
"287",32585631,0,"Christianity",100,55.5555555555556,3.5,2,4,2
"288",32585631,1,"Christianity",40,73.3333333333333,3,2,4,1
"289",32837451,1,"Other",20,64.4444444444444,1.2,3,3,1
"290",32837451,0,"Agnostic",100,55.5555555555556,1.4,3,3,2
"293",32893460,1,"Athiest",25,70,1.7,4,2,1
"294",32893460,0,"Agnostic",100,65,2,3,3,2
"295",32939460,1,"Other",60,82.2222222222222,1.7,4,3,1
"296",32939460,0,"Other",75,42.2222222222222,2.5,2,5,2
"297",32997534,1,"Christianity",40,78,2.85,3,3,1
"298",32997534,0,"Christianity",75,54,3.55,3,4,2
"299",33046177,1,"Judaism",45,88.8888888888889,1.8,1,5,1
"300",33046177,0,"Judaism",85,40,1.9,3,4,2
"301",33094797,0,"Christianity",85,70,2.95,1,4,2
"302",33094797,1,"Christianity",40,60,2.95,1,5,1
"303",33170169,0,"Christianity",65,52,3.35,3,4,2
"304",33170169,1,"Other",60,82,1.85,2,3,1
"307",33275392,1,"Christianity",50,62,2.5,2,5,1
"308",33275392,0,"Christianity",75,56,3.15,2,5,2
"309",33303114,1,"Other",85,90,2.05,4,4,1
"310",33303114,0,"Christianity,Athiest",80,48,2.1,4,2,2
"311",33315985,1,"Christianity",30,71.1111111111111,3.25,3,5,1
"312",33315985,0,"Christianity",80,46.6666666666667,3.35,3,4,2
"315",33548752,1,"Christianity",80,74,3.2,3,4,1
"316",33548752,0,"Christianity",75,72,3.1,2,5,2
"317",33559952,0,"Christianity",85,80,2.2,4,2,2
"318",33559952,1,"Christianity",50,38,2.4,2,5,1
"321",33642604,1,"Buddhism",50,71.1111111111111,2.2,3,4,1
"322",33642604,0,"Athiest",85,42.2222222222222,2.2,3,5,2
"323",33666277,0,"Other",90,64.4444444444444,2.8,3,4,2
"324",33666277,1,"Other",30,64.4444444444444,2.9,3,3,1
"325",33672471,1,"Christianity",20,56,1.8,3,5,1
"326",33672471,0,"Agnostic",95,68.8888888888889,2.1,3,3,2
"327",33676931,1,"Christianity",25,84,3,3,5,1
"328",33676931,0,"Christianity",100,44,3.5,3,3,2
"332",33701176,0,"Christianity",80,56,3.5,1,5,2
"333",33701176,1,"Christianity",100,92,3.55,1,5,1
"336",33703455,1,"Christianity",45,57.5,2.35,3,5,1
"337",33703455,0,"Christianity",65,58,3.55,3,3,2
"338",33706512,0,"Christianity",65,56,3.2,1,5,2
"339",33706512,1,"Christianity",60,60,3.3,1,5,1
"342",33711907,1,"Christianity",90,96,3.25,2,5,1
"343",33711907,0,"Christianity",20,30,3,2,4,2
"344",33718812,0,"Christianity",70,60,3,3,5,2
"345",33718812,1,"Christianity",60,60,3,3,5,1
"346",33728504,1,"Christianity",55,88.8888888888889,2.5,4,2,1
"347",33728504,0,"Prefer not to answer",NA,NA,3,3,3,2
"348",33732206,1,"Christianity",50,72,2.5,3,3,1
"349",33732206,0,"Christianity",65,72,3.25,3,3,2
"353",33735733,1,"Christianity",85,88,2.75,5,1,1
